ID,Section,Answer
101,6,"Our boss proposed a four-day workweek. After making the suggestion, he asked us for our thoughts and input."
102,6,"The philosopher Socrates proposed a morality based on individual conscience rather than the demands of the state, a departure from what others had put forward."
103,6,Meeting deadlines is a real challenge for me. It’s difficult for me to remember to submit my assignments on time.
104,6,"Coping with salt is not the only challenge for plants in a salt marsh. Soil is dense and very low in oxygen, therefore making it difficult for plants to survive."
105,6,"I was surprised when my professor challenged my thesis statement. When she disputed my argument, I had to defend it."
106,6,There are always new discoveries that have the potential to challenge widely held beliefs and change current ways of thinking.
107,6,"As an undergraduate student, I was able to get paper published, which will help me to get into a graduate program for further studies."
108,6,The slowing down of water renewal leads to a chain of further consequences that continue to pile up.
109,6,"I took the Food safety Course to further my career in food management. If I continue learning, I can be a famous chef someday."
110,6,"A group with too much expressive activity can be unproductive, meaning the group isn’t doing anything to further their own goals."
111,6,"First, you should revise your spelling. Further you should refine your punctuation. Remember, that’s in addition to revising your content."
112,6,"Biologists believe there was dense vegetation to support ice-age grazing animals. Further, nearly all of the ice-age grazing animals had teeth indicating an adaptation to grasses."
113,6,Have you seen the stream the flows through the middle of campus? It actually feeds into the lake on the edge of the city.
114,6,"As rivers flow, they leave layers of sediment behind that are not carried along, but eventually fossilize instead."
115,6,"You might expect traffic jams around such a big campus, but there’s actually a smooth flow of traffic."
116,6,"Controlling the flow of funds to railroads, investment bankers bean to exert influences over the railroads’ internal affairs as well as their intake of capital."
117,6,Our chemistry professor demonstrated how to make homemade toothpaste using fluoride. His presentation definitely helped students who are visual learners.
118,6,"Now, another strategy to address the consumer’s concern is to demonstrate something about the product, actually using the product in front of the customers."
119,6,Some students are outside demonstrating to show their disagreement with the new scheduling policies.
120,6,In order to show their disapproval. Some people are outside demonstrating against the big construction project.
121,7,"The best strategy is to spend one hour studying for the final exam every day. If you follow this plan, you’ll be well prepared."
122,7,"Coaching-especially in high school and college-is about teaching life skills through game strategy, showing that game principles can be applied throughout one’s life."
123,7,"Most people associate grey cloud with rain, and the connection is usually true."
124,7,"Heat islands develop best under particular conditions associated with light winds, not when winds are too strong."
125,7,My mom’s associates are coming to my university class to give a presentation. Her work colleagues love to share their knowledge with students like us.
126,7,The owner’s business associates all gathered to celebrate the one-year anniversary of opening the restaurant and congratulate the employees on their hard-earned success.
127,7,"For my history seminar, I have to contrast urban and nomadic societies by showing the differences between them."
128,7,The clearest animal signal depends not only on its brightness but also on how well it contrasts with and differs from the background against which it must be seen.
129,7,I like the contrast if the black pants with the white jacket you’re wearing. It’s a really striking difference in color.
130,7,"The fact that there is come historical truth behind folk legends is a distinct contrast from the other main branch of popular storytelling, folktales, which can be entirely fictional."
131,7,"Cafeteria works load food deliveries into baskets, then transport the food to the kitchens."
132,7,"In the face of the upcoming water supply crisis, several schemes have been developed to transport water by canal or pipeline from the nearby rivers."
133,7,The most popular form of transport for students living on campus is the campus shuttle.
134,7,"A large majority of intercity travelers use other means of transport, such as private cars."
135,7,"Over time, there’s been a migration of people from small towns to cities. My hometown is a good example-nearly everyone’s moved away."
136,7,A bird finding its way back to the nest after being accidentally displaced is different from getting home after an annual migration to warmer climate.
137,7,"Every semester around final exams, you can see a migration of students making their way to the library to study."
138,7,"The orbital migration theory suggests that a gas giant planet forms far from its sun but, over time, moves to a position even closer to that sun than where you’d expect to see similar, rocky planets."
139,7,"I have to expand my outline into a five-page essay, but I’m having trouble developing my ides."
140,7,Active volcanoes expand in volume as they acquire new supplies of magma from deep ground.
141,8,"When I was riding in the rowboat, I got a cramp in one leg, so lifted my weight; adjusting my position helped."
142,8,"Eventually, the western states shifted much of their produce, moving it from the rivers to the Erie Canal, a shorter route to eastern markets."
143,8,I could feel a shift in the wind this morning. It changed slightly before the thunderstorm started.
144,8,The samples from the excavations allowed botanists to study shifts in plant habitats as if they were looking through a telescope at a changing landscape.
145,8,"In science class, we learned how a mirror reflects light: the light returns back at the same angle it strikes the mirror and creates a reflection."
146,8,It is possible that this ornamentation of many materials actually reflects a growing sense of ethnic identity or perhaps mirrors some differences in social status.
147,8,"I often reflect on my freshman year, thinking back on all the fun activities I participated in."
148,8,"I want you to synthesize information, to reflect back on what we’re read and discussed, and to use those thoughts to form your own ideas."
149,8,I actually enjoy eating apple cores-most people just throw the middle of the apple away.
150,8,"Some twentieth-century scientists maintained that Earth is composed of concentric shells of increasing density from outside to inside, from crust to core."
151,8,I just bought a tool to core apples. This makes it a lot easier to remove the seeds from the center.
152,8,"There are machines to peel and core apples easily, removing both the center and the outer layers."
153,8,My core argument is summarized in my opening paragraph. It’s the most important aspects of my essay.
154,8,"The core problem with this extinction theory is explaining the effect of human interference, which is really the central issue."
155,8,You’ll need to obtain a copy of your transcript. Contract the register’s office and they’ll give it to you.
156,8,"Large-scale farming companies often see a great commercial opportunity in palm growing, so they obtain farms for themselves and start controlling the profits form the land they possess."
157,8,Some aspects of the assignment are confusing. I don’t now how to complete certain parts of it.
158,8,"The consultant researched some aspects of the company, such as the types of cafeteria facilities and health services it offered."
159,8,The concepts in statics are way too complicated for me! I can’t understand the abstract mathematical ideas.
160,8,"A kindergarten teacher’s job is to observe the child’s play because when children “play”, they are acquiring the basis for later concepts and more complex ideas."
161,9,"I assumed you had already met my roommate because we’re all in the same lecture class, but I guess I never actually introduced you two."
162,9,We should not assume that old elephants are aware they will die soon just because they break away from their herds; there may be another explanation.
